report_date,total_purchase,total_redeem,direct_purchase,purchase_bal,direct_redeem,redeem_bal,tbalance,ybalance,active_users,net_flow,year,month,day,weekday,weekofyear,dayofyear,is_weekend,is_month_start,is_month_end,is_mid_month,quarter,is_quarter_end,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_3,month_4,month_5,month_6,month_7,month_8,day_sin,day_cos,weekday_sin,weekday_cos,month_sin,month_cos,direct_purchase_ratio,purchase_bal_ratio,direct_redeem_ratio,redeem_bal_ratio,purchase_per_user,redeem_per_user,total_purchase_lag_1,total_purchase_lag_2,total_purchase_lag_3,total_purchase_lag_7,total_purchase_lag_14,total_purchase_lag_30,total_redeem_lag_1,total_redeem_lag_2,total_redeem_lag_3,total_redeem_lag_7,total_redeem_lag_14,total_redeem_lag_30,active_users_lag_1,active_users_lag_2,active_users_lag_3,active_users_lag_7,active_users_lag_14,active_users_lag_30,net_flow_lag_1,net_flow_lag_2,net_flow_lag_3,net_flow_lag_7,net_flow_lag_14,net_flow_lag_30,total_purchase_rolling_mean_3,total_purchase_rolling_std_3,total_purchase_rolling_max_3,total_purchase_rolling_min_3,total_purchase_rolling_median_3,total_purchase_rolling_mean_7,total_purchase_rolling_std_7,total_purchase_rolling_max_7,total_purchase_rolling_min_7,total_purchase_rolling_median_7,total_purchase_rolling_mean_14,total_purchase_rolling_std_14,total_purchase_rolling_max_14,total_purchase_rolling_min_14,total_purchase_rolling_median_14,total_purchase_rolling_mean_30,total_purchase_rolling_std_30,total_purchase_rolling_max_30,total_purchase_rolling_min_30,total_purchase_rolling_median_30,total_redeem_rolling_mean_3,total_redeem_rolling_std_3,total_redeem_rolling_max_3,total_redeem_rolling_min_3,total_redeem_rolling_median_3,total_redeem_rolling_mean_7,total_redeem_rolling_std_7,total_redeem_rolling_max_7,total_redeem_rolling_min_7,total_redeem_rolling_median_7,total_redeem_rolling_mean_14,total_redeem_rolling_std_14,total_redeem_rolling_max_14,total_redeem_rolling_min_14,total_redeem_rolling_median_14,total_redeem_rolling_mean_30,total_redeem_rolling_std_30,total_redeem_rolling_max_30,total_redeem_rolling_min_30,total_redeem_rolling_median_30,active_users_rolling_mean_3,active_users_rolling_std_3,active_users_rolling_max_3,active_users_rolling_min_3,active_users_rolling_median_3,active_users_rolling_mean_7,active_users_rolling_std_7,active_users_rolling_max_7,active_users_rolling_min_7,active_users_rolling_median_7,active_users_rolling_mean_14,active_users_rolling_std_14,active_users_rolling_max_14,active_users_rolling_min_14,active_users_rolling_median_14,active_users_rolling_mean_30,active_users_rolling_std_30,active_users_rolling_max_30,active_users_rolling_min_30,active_users_rolling_median_30,net_flow_rolling_mean_3,net_flow_rolling_std_3,net_flow_rolling_max_3,net_flow_rolling_min_3,net_flow_rolling_median_3,net_flow_rolling_mean_7,net_flow_rolling_std_7,net_flow_rolling_max_7,net_flow_rolling_min_7,net_flow_rolling_median_7,net_flow_rolling_mean_14,net_flow_rolling_std_14,net_flow_rolling_max_14,net_flow_rolling_min_14,net_flow_rolling_median_14,net_flow_rolling_mean_30,net_flow_rolling_std_30,net_flow_rolling_max_30,net_flow_rolling_min_30,net_flow_rolling_median_30,total_purchase_diff_1,total_purchase_diff_7,total_purchase_diff_30,total_redeem_diff_1,total_redeem_diff_7,total_redeem_diff_30,active_users_diff_1,active_users_diff_7,active_users_diff_30,net_flow_diff_1,net_flow_diff_7,net_flow_diff_30,total_purchase_growth_1d,total_purchase_growth_7d,total_purchase_growth_30d,total_redeem_growth_1d,total_redeem_growth_7d,total_redeem_growth_30d,active_users_growth_1d,active_users_growth_7d,active_users_growth_30d,net_flow_growth_1d,net_flow_growth_7d,net_flow_growth_30d,total_purchase_monthly_cum,total_redeem_monthly_cum,active_users_monthly_cum,net_flow_monthly_cum,mfd_daily_10000,mfd_daily_7day_annual,mfd_daily_1d,mfd_daily_1w,mfd_daily_2w,mfd_daily_1m,mfd_daily_3m,mfd_daily_6m,mfd_daily_9m,mfd_daily_1y,mfd_daily_1d_lag_1,mfd_daily_1d_lag_7,mfd_daily_1d_diff_1,mfd_daily_1w_lag_1,mfd_daily_1w_lag_7,mfd_daily_1w_diff_1,mfd_daily_1m_lag_1,mfd_daily_1m_lag_7,mfd_daily_1m_diff_1,mfd_daily_3m_lag_1,mfd_daily_3m_lag_7,mfd_daily_3m_diff_1,mfd_daily_7day_annual_lag_1,mfd_daily_7day_annual_diff_1,total_purchase_weekday_mean_7,total_purchase_weekend_mean_7,total_redeem_weekday_mean_7,total_redeem_weekend_mean_7,active_users_weekday_mean_7,active_users_weekend_mean_7,net_flow_weekday_mean_7,net_flow_weekend_mean_7
2014-03-01,2623563.89,3842840.16,2218773.22,404790.88,2934494.37,908345.7,13788137.52,12568861.26,300,-1219276.27,2014,3,1,5,9,60,1,1,0,0,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,0.20129852008866006,0.9795299412524945,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8457096198252502,0.15429046021815987,0.7636264449779344,0.23637353160162758,8745.212937515957,12809.467157301777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623563.89,3842840.16,300,-1219276.27,1.2281,4.4824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-02,3351341.3,3915610.0,2791108.48,560233.0,3028372.4899999998,887237.53,11117000.41,10552731.9,300,-564268.7000000002,2014,3,2,6,9,61,1,1,0,0,1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,0.39435585511331855,0.9189578116202306,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.832833253956906,0.16716679975263424,0.7734101429915713,0.2265898621159343,11171.13762942954,13052.033289826555,2623563.89,,,,,,3842840.16,,,,,,300.0,,,,,,-1219276.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727777.4099999997,,,72769.83999999985,,,0.0,,,655007.5699999998,,,0.27740029994085624,,,0.018936473277618715,,,0.0,,,-0.5372101353206848,,,5974905.1899999995,7758450.16,600,-1783544.9700000002,1.2488,4.5581,,,,,,,,,,,,,,,,,,,,,4.4824,0.07569999999999943,,,,,,,,
2014-03-03,4938674.27,2476109.2600000002,4141410.91,797263.4,1895977.67,580131.22,12301832.57,14764397.66,300,2462565.0099999993,2014,3,3,0,10,62,0,1,0,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,0.5712682150947923,0.8207634412072763,0.0,1.0,1.0,6.123233995736766e-17,0.8385673327670509,0.16143267533208636,0.7657084041595298,0.23429144641208832,16462.247511792506,8253.69750582101,3351341.3,2623563.89,,,,,3915610.0,3842840.16,,,,,300.0,300.0,,,,,-564268.7000000002,-1219276.27,,,,,3637859.82,1183851.2003724026,4938674.27,2623563.89,3351341.3,,,,,,,,,,,,,,,,3411519.8066666666,810905.9936360257,3915610.0,2476109.2600000002,3842840.16,,,,,,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,,,,,,226340.01333333305,1964124.5902378366,2462565.0099999993,-1219276.27,-564268.7000000002,,,,,,,,,,,,,,,,1587332.9699999997,,,-1439500.7399999998,,,0.0,,,3026833.7099999995,,,0.4736410970735807,,,-0.3676312860576002,,,0.0,,,-5.364170846265261,,,10913579.459999999,10234559.42,900,679020.0399999991,1.3062,4.7676,2.6263,3.0123,3.2356,3.5688,3.889,4.1538,4.2695,4.5464,,,,,,,,,,,,,4.5581,0.20950000000000024,,,,,,,,
2014-03-04,4139647.5,3830482.68,3458007.56,681640.06,2931771.86,898710.71,11958478.52,12267643.459999999,300,309164.81999999983,2014,3,4,1,10,63,0,0,0,0,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,0.72479278722912,0.6889669190756866,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.8353386514187898,0.16466137756894408,0.7653792236959637,0.23462074758676768,13798.824954003918,12768.275557439081,4938674.27,3351341.3,2623563.89,,,,2476109.2600000002,3915610.0,3842840.16,,,,300.0,300.0,300.0,,,,2462565.0099999993,-564268.7000000002,-1219276.27,,,,4143221.023333333,793672.5187153802,4938674.27,3351341.3,4139647.5,,,,,,,,,,,,,,,,3407400.646666667,807644.3526158264,3915610.0,2476109.2600000002,3830482.68,,,,,,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,,,,,,735820.3766666664,1557869.314167269,2462565.0099999993,-564268.7000000002,309164.81999999983,,,,,,,,,,,,,,,,-799026.7699999996,,,1354373.42,,,0.0,,,-2153400.1899999995,,,-0.16178972864310803,,,0.5469764367344596,,,0.0,,,-0.8744541489282348,,,15053226.959999999,14065042.100000001,1200,988184.8599999989,1.2303,4.4907,2.4228,3.0195,3.3892,3.5268,3.9603,4.233,4.3431,4.5207,2.6263,,-0.20350000000000001,3.0123,,0.007199999999999651,3.5688,,-0.041999999999999815,3.889,,0.07130000000000036,4.7676,-0.2768999999999995,,,,,,,,
2014-03-05,3069222.71,3188724.82,2550648.61,518574.09,2461741.31,726983.4,12456880.49,12337378.58,300,-119502.10999999987,2014,3,5,2,10,64,0,0,0,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.8310405763937441,0.1689594203477763,0.7720143471016819,0.2279856184014562,10230.742332564192,10629.082697903057,4139647.5,4938674.27,3351341.3,,,,3830482.68,2476109.2600000002,3915610.0,,,,300.0,300.0,300.0,,,,309164.81999999983,2462565.0099999993,-564268.7000000002,,,,4049181.4933333336,938003.3888895436,4938674.27,3069222.71,4139647.5,,,,,,,,,,,,,,,,3165105.5866666664,677495.5655486349,3830482.68,2476109.2600000002,3188724.82,,,,,,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,,,,,,884075.9066666664,1383712.297128799,2462565.0099999993,-119502.10999999987,309164.81999999983,,,,,,,,,,,,,,,,-1070424.79,,,-641757.8600000003,,,0.0,,,-428666.9299999997,,,-0.258578729227549,,,-0.16753968458095214,,,0.0,,,-1.3865320446226708,,,18122449.669999998,17253766.92,1500,868682.7499999991,1.2647,4.6162,2.2599,2.9947,3.2142,3.563,4.0135,4.2328,4.3256,4.5038,2.4228,,-0.16290000000000004,3.0195,,-0.024799999999999933,3.5268,,0.03620000000000001,3.9603,,0.05319999999999947,4.4907,0.12549999999999972,,,,,,,,
2014-03-06,3455201.27,5506635.890000001,2886890.94,568310.42,4177052.48,1329583.44,13674902.3,11623467.67,300,-2051434.6200000006,2014,3,6,3,10,65,0,0,0,0,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.8355203400348266,0.16447968601257074,0.7585488787418703,0.2414511267059203,11517.337528275542,18355.452905481827,3069222.71,4139647.5,4938674.27,,,,3188724.82,3830482.68,2476109.2600000002,,,,300.0,300.0,300.0,,,,-119502.10999999987,309164.81999999983,2462565.0099999993,,,,3554690.4933333336,542103.2068999765,4139647.5,3069222.71,3455201.27,,,,,,,,,,,,,,,,4175281.1300000004,1196805.0845684686,5506635.890000001,3188724.82,3830482.68,,,,,,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,,,,,,-620590.6366666668,1257547.1015830012,309164.81999999983,-2051434.6200000006,-119502.10999999987,,,,,,,,,,,,,,,,385978.56000000006,,,2317911.0700000008,,,0.0,,,-1931932.5100000007,,,0.125757755780453,,,0.7269084668146437,,,0.0,,,16.16651379628362,,,21577650.939999998,22760402.810000002,1800,-1182751.8700000015,1.2279,4.4818,2.9023,3.0272,3.2542,3.4354,4.0604,4.1864,4.3107,4.5172,2.2599,,0.6423999999999999,2.9947,,0.032500000000000195,3.563,,-0.12760000000000016,4.0135,,0.04689999999999994,4.6162,-0.1344000000000003,,,,,,,,
2014-03-07,3710434.32,2519080.89,3090262.3,620172.07,1941071.85,578009.03,12790934.19,13982287.66,300,1191353.4299999997,2014,3,7,4,10,66,0,0,0,0,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,0.9884683243281114,0.1514277775045767,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.8328572974171841,0.16714271605805783,0.7705476460500756,0.2294523499798256,12368.114358772951,8396.936272010213,3455201.27,3069222.71,4139647.5,,,,5506635.890000001,3188724.82,3830482.68,,,,300.0,300.0,300.0,,,,-2051434.6200000006,-119502.10999999987,309164.81999999983,,,,3411619.4333333336,322819.7865142844,3710434.32,3069222.71,3455201.27,3612583.6085714283,754133.6490530454,4938674.27,2623563.89,3455201.27,,,,,,,,,,,3738147.2000000007,1567727.6336276971,5506635.890000001,2519080.89,3188724.82,3611354.814285714,1036558.807390881,5506635.890000001,2476109.2600000002,3830482.68,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,-326527.7666666669,1631276.5863563418,1191353.4299999997,-2051434.6200000006,-119502.10999999987,1228.7942857140276,1505922.7671011065,2462565.0099999993,-2051434.6200000006,-119502.10999999987,,,,,,,,,,,255233.0499999998,,,-2987555.0000000005,,,0.0,,,3242788.0500000003,,,0.07386922788437156,,,-0.5425372331999239,,,0.0,,,-1.580741603161596,,,25288085.259999998,25279483.7,2100,8601.559999998193,1.2397,4.5249,2.9038,3.0196,3.067,3.514,3.987,4.1647,4.373,4.4889,2.9023,,0.0015000000000000568,3.0272,,-0.007600000000000051,3.4354,,0.07859999999999978,4.0604,,-0.07339999999999947,4.4818,0.043099999999999916,,,,,,,,
2014-03-08,1781135.84,3178323.93,1486378.85,294757.12,2446710.68,731613.28,12898262.57,11501074.54,300,-1397188.09,2014,3,8,5,10,67,1,0,0,0,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,0.9987165071710528,-0.05064916883871264,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8345117854678425,0.1654882875187299,0.7698116157717223,0.23018839366690036,5937.119446876269,10594.41306468529,3710434.32,3455201.27,3069222.71,2623563.89,,,2519080.89,5506635.890000001,3188724.82,3842840.16,,,300.0,300.0,300.0,300.0,,,1191353.4299999997,-2051434.6200000006,-119502.10999999987,-1219276.27,,,2982257.143333333,1048000.6042192675,3710434.32,1781135.84,3455201.27,3492236.744285714,973564.1320155116,4938674.27,1781135.84,3455201.27,,,,,,,,,,,3734680.236666667,1569560.5991748394,5506635.890000001,2519080.89,3178323.93,3516423.924285714,1042238.9466439621,5506635.890000001,2476109.2600000002,3188724.82,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,-752423.0933333337,1714849.8505701968,1191353.4299999997,-2051434.6200000006,-1397188.09,-24187.180000000266,1531243.2667012103,2462565.0099999993,-2051434.6200000006,-119502.10999999987,,,,,,,,,,,-1929298.4799999997,-842428.05,,659243.04,-664516.23,,0.0,0.0,,-2588541.5199999996,-177911.82000000007,,-0.5199656734524813,-0.32110064222602175,,0.26169982973432826,-0.1729232032383049,,0.0,0.0,,-2.1727738006344604,0.14591592108981177,,27069221.099999998,28457807.630000003,2400,-1388586.530000002,1.2541,4.5775,,,,,,,,,2.9038,,,3.0196,,,3.514,,,3.987,,,4.5249,0.05259999999999998,,,,,,,,
2014-03-09,1868849.75,2199786.67,1559867.6,308982.34,1690001.95,509784.71,15305449.72,14974512.790000001,300,-330936.9199999999,2014,3,9,6,10,68,1,0,0,0,1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,0.9680771188662043,-0.2506525322587204,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8346672063921486,0.16533289527413036,0.7682572010490599,0.2317427944045903,6229.499145901669,7332.622208891259,1781135.84,3710434.32,3455201.27,3351341.3,,,3178323.93,2519080.89,5506635.890000001,3915610.0,,,300.0,300.0,300.0,300.0,,,-1397188.09,1191353.4299999997,-2051434.6200000006,-564268.7000000002,,,2453473.303333333,1089443.289284324,3710434.32,1781135.84,1868849.75,3280452.2371428567,1153872.3051546935,4938674.27,1781135.84,3455201.27,,,,,,,,,,,2632397.1633333336,499013.25198203966,3178323.93,2199786.67,2519080.89,3271306.305714286,1130720.842294791,5506635.890000001,2199786.67,3178323.93,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,-178923.8600000001,1300948.7991458003,1191353.4299999997,-1397188.09,-330936.9199999999,9145.931428571199,1520025.5113773998,2462565.0099999993,-2051434.6200000006,-119502.10999999987,,,,,,,,,,,87713.90999999992,-1482491.5499999998,,-978537.2600000002,-1715823.33,,0.0,0.0,,1066251.1700000002,233331.78000000026,,0.04924605301300322,-0.442357676313063,,-0.3078783917408948,-0.4382007733150135,,0.0,0.0,,-0.7631407522232745,-0.4135118251287023,,28938070.849999998,30657594.3,2700,-1719523.4500000018,1.2289,4.4856,,,,,,,,,,,,,,,,,,,,,4.5775,-0.09189999999999987,,,,,,,,
2014-03-10,3550328.86,3304327.85,2964942.89,585385.95,2530395.51,773932.1900000001,10773619.73,11019620.86,300,246001.00999999978,2014,3,10,0,11,69,0,0,0,1,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,0.8978045395707416,-0.4403941515576344,0.0,1.0,1.0,6.123233995736766e-17,0.8351178177897485,0.16488217657668905,0.7657822180081901,0.23421773659649597,11834.429493885234,11014.426129951913,1868849.75,1781135.84,3710434.32,4938674.27,,,2199786.67,3178323.93,2519080.89,2476109.2600000002,,,300.0,300.0,300.0,300.0,,,-330936.9199999999,-1397188.09,1191353.4299999997,2462565.0099999993,,,2400104.816666667,997088.2332564325,3550328.86,1781135.84,1868849.75,3082117.1785714286,916178.9574750316,4139647.5,1781135.84,3455201.27,,,,,,,,,,,2894146.15,604624.3152266063,3304327.85,2199786.67,3178323.93,3389623.2471428574,1075634.5049682886,5506635.890000001,2199786.67,3188724.82,,,,,,,,,,,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,,,,,,,,,,,-494041.33333333343,833648.5421484949,246001.00999999978,-1397188.09,-330936.9199999999,-307506.06857142877,1095279.3449502245,1191353.4299999997,-2051434.6200000006,-119502.10999999987,,,,,,,,,,,1681479.1099999999,-1388345.4099999997,,1104541.1800000002,828218.5899999999,,0.0,0.0,,576937.9299999997,-2216563.9999999995,,0.899740126246104,-0.28111702333428035,,0.5021128616985393,0.3344838628001414,,0.0,0.0,,-1.7433471309275492,-0.9001037499513567,,32488399.71,33961922.15,3000,-1473522.440000002,1.2476,4.5539,2.5852,3.1275,3.202,3.4559,4.028,4.229,4.2412,4.4805,,2.6263,,,3.0123,,,3.5688,,,3.889,,4.4856,0.0682999999999998,,,,,,,,
